He holds a Master of Science in Urban Planning.,"{'DEGREE': ['Master Science'], 'SPEC': ['Urban Planning']}"
She earned a Bachelor of Arts in English Literature.,"{'DEGREE': ['Bachelor Arts'], 'SPEC': ['English Literature']}"
A Doctor of Philosophy in Electrical and Computer Engineering is essential.,"{'DEGREE': ['Doctor Philosophy'], 'SPEC': ['Electrical Computer Engineering']}"
He has a Bachelor of Science in Environmental Studies.,"{'DEGREE': ['Bachelor Science'], 'SPEC': ['Environmental Studies']}"
She completed a Master of Arts in Museum Studies.,{'SPEC': ['Museum Studies']}
A Bachelor of Science in Genetics is required.,"{'DEGREE': ['Bachelor'], 'SPEC': ['Science', 'Genetics']}"
Applicants should have a Master of Science in Biomedical Sciences.,"{'DEGREE': ['Master Science'], 'SPEC': ['Biomedical Sciences']}"
A Doctor of Pharmacy degree is highly desired.,"{'DEGREE': ['Doctor'], 'SPEC': ['Pharmacy']}"
He possesses a Bachelor of Science in Health Sciences.,"{'SPEC': ['possesses'], 'DEGREE': ['Bachelor']}"
She earned a Master of Science in Clinical Psychology.,"{'DEGREE': ['Master Science'], 'SPEC': ['Clinical Psychology']}"
A Bachelor of Science in Computer Information Systems is preferred.,"{'DEGREE': ['Bachelor Science'], 'SPEC': ['Computer Information Systems']}"
Candidates with a Doctor of Philosophy in Mechanical Engineering are encouraged to apply.,"{'DEGREE': ['Doctor Philosophy'], 'SPEC': ['Mechanical Engineering', 'encouraged apply']}"
He holds a Master of Science in Cognitive Science.,"{'DEGREE': ['Master Science'], 'SPEC': ['Cognitive Science']}"
She completed her Bachelor of Science in Economics.,"{'DEGREE': ['Bachelor'], 'SPEC': ['Science', 'Economics']}"
A Doctor of Philosophy in Neuroscience is essential.,"{'DEGREE': ['Doctor'], 'SPEC': ['Philosophy', 'Neuroscience']}"
He has a Bachelor of Science in Plant Sciences.,"{'DEGREE': ['Bachelor Science'], 'SPEC': ['Plant Sciences']}"
She earned a Master of Science in Applied Mathematics.,"{'DEGREE': ['Master Science'], 'SPEC': ['Applied Mathematics']}"
A Bachelor of Science in Kinesiology is required.,"{'DEGREE': ['Bachelor'], 'SPEC': ['Science', 'Kinesiology']}"
Applicants must have a Master of Science in Marine Biology.,"{'DEGREE': ['Master'], 'SPEC': ['Science', 'Marine Biology']}"
He possesses a Doctor of Philosophy in Sociology.,"{'SPEC': ['possesses', 'Philosophy', 'Sociology'], 'DEGREE': ['Doctor']}"
She earned a Bachelor of Science in Nursing Administration.,"{'DEGREE': ['Bachelor Science'], 'SPEC': ['Nursing Administration']}"
A Master of Science in Industrial-Organizational Psychology is desired.,"{'DEGREE': ['Master Science'], 'SPEC': ['Industrial', 'Organizational Psychology']}"
He holds a Bachelor of Science in Information Systems.,"{'SPEC': ['holds', 'Information Systems'], 'DEGREE': ['Bachelor Science']}"
She completed a Master of Science in Pharmacology.,"{'DEGREE': ['Master'], 'SPEC': ['Science', 'Pharmacology']}"
A Doctor of Philosophy in Biophysics is highly desired.,"{'DEGREE': ['Doctor'], 'SPEC': ['Philosophy']}"
He has a Bachelor of Science in Environmental Health.,"{'DEGREE': ['Bachelor Science'], 'SPEC': ['Environmental Health']}"
She earned a Master of Science in Immunology.,"{'DEGREE': ['Master Science'], 'SPEC': ['Immunology']}"
A Bachelor of Science in Public Health is essential.,"{'DEGREE': ['Bachelor Science'], 'SPEC': ['Public Health']}"
Candidates with a Master of Science in Cybersecurity are encouraged to apply.,"{'DEGREE': ['Master Science'], 'SPEC': ['Cybersecurity', 'encouraged apply']}"
He holds a Bachelor of Science in Environmental Policy.,"{'SPEC': ['holds', 'Environmental Policy'], 'DEGREE': ['Bachelor Science']}"
She completed her Master of Science in Molecular Genetics.,"{'DEGREE': ['Master Science'], 'SPEC': ['Molecular Genetics']}"
A Doctor of Medicine degree is required.,{'DEGREE': ['Doctor Medicine']}
Applicants should have a Bachelor of Science in Food Science.,{'DEGREE': ['Bachelor Science Food Science']}
A Master of Science in Marine Ecology is preferred.,"{'DEGREE': ['Master'], 'SPEC': ['Science', 'Marine', 'Ecology']}"
He possesses a Bachelor of Science in Conservation Biology.,"{'SPEC': ['possesses', 'Conservation Biology'], 'DEGREE': ['Bachelor Science']}"
She earned a Master of Science in Bioinformatics.,"{'DEGREE': ['Master Science'], 'SPEC': ['Bioinformatics']}"
A Doctor of Philosophy in Social Work is highly desired.,"{'DEGREE': ['Doctor Philosophy'], 'SPEC': ['Social Work']}"
He holds a Bachelor of Science in Physics with a minor in Computer Science.,"{'SPEC': ['holds', 'Physics', 'Computer Science'], 'DEGREE': ['Bachelor Science', 'minor']}"
She completed a Master of Science in Agronomy.,{'DEGREE': ['Master Science Agronomy']}
A Bachelor of Science in Earth Sciences is required.,{'DEGREE': ['Bachelor Science']}
Candidates should have a Master of Science in Horticulture.,"{'DEGREE': ['Master Science'], 'SPEC': ['Horticulture']}"
He has a Doctor of Philosophy in Environmental Chemistry.,"{'DEGREE': ['Doctor Philosophy'], 'SPEC': ['Environmental Chemistry']}"
She earned a Bachelor of Science in Medical Technology.,"{'DEGREE': ['Bachelor Science'], 'SPEC': ['Medical Technology']}"
Minimum requirements:- 5+ years of software engineering experience,{'DEGREE': ['Minimum']}
NIL,{}
N/A,{}
BS,{}
Strong technical background with a degree in CS,{'SPEC': ['CS']}
Minimum 3 years of experience in a relevant role within the production environment.,{'DEGREE': ['Minimum']}
Bachelor's degree required.,{'DEGREE': ['Bachelor']}
Ph.D. in applied math,{}
Bachelorâ€™s degree and at least 5 years of Oncology experience OR associate degree and 7 years of Oncology experience.,"{'DEGREE': ['Bachelor', 'associate'], 'SPEC': ['least']}"
Bachelor's degree in Statistics,"{'DEGREE': ['Bachelor'], 'SPEC': ['Statistics']}"
CA Inter ,"{'DEGREE': ['CA', 'Inter']}"
BS or BA degree in Medical Technology,"{'DEGREE': ['BS', 'BA'], 'SPEC': ['Medical Technology']}"
MD,{}
1st Class Masterâ€™s Degree M.Eng,"{'SPEC': ['st'], 'DEGREE': ['Master']}"
Kriger Research Group International Diploma in Clinical Research & Regulatory Affairs,"{'SPEC': ['Kriger Research', 'Clinical Research', 'Regulatory Affairs'], 'DEGREE': ['Diploma']}"
Bharathiar University Masters in Computer Applications (MCA),{'DEGREE': ['Masters Computer Applications MCA']}
EIC,{}
MBA,{}
MBA,{}
5+ annÃ©es d'expÃ©rience avÃ©rÃ©e dans l'industrie; diplÃ´me de bachelier en TI ou domaines connexes.,"{'DEGREE': ['ann', 'es', 'exp', 'domaines connexes']}"
