Candidates with a Doctor of Philosophy in Psychology are encouraged to apply.,"{'DEGREE': ['Doctor'], 'SPEC': ['Philosophy', 'Psychology', 'encouraged apply']}"
He holds a Master of Science in Structural Engineering.,"{'DEGREE': ['Master Science'], 'SPEC': ['Structural Engineering']}"
She completed a Bachelor of Arts in Political Science.,{'SPEC': ['Political Science']}
A Doctor of Philosophy in Molecular Biology is highly desired.,"{'DEGREE': ['Doctor'], 'SPEC': ['Philosophy', 'Molecular Biology']}"
He has a Bachelor of Science in Software Engineering.,"{'DEGREE': ['Bachelor Science'], 'SPEC': ['Software Engineering']}"
She earned a Master of Science in Education.,{'DEGREE': ['Master Science Education']}
A Bachelor of Science in Environmental Engineering is essential.,"{'DEGREE': ['Bachelor Science'], 'SPEC': ['Environmental Engineering']}"
Candidates should have a Master of Arts in Anthropology.,{'SPEC': ['Anthropology']}
He holds a Bachelor of Science in Aerospace Engineering.,"{'SPEC': ['holds', 'Aerospace Engineering'], 'DEGREE': ['Bachelor Science']}"
She completed her Master of Science in Industrial Engineering.,"{'DEGREE': ['Master'], 'SPEC': ['Science', 'Industrial Engineering']}"
A Doctor of Medicine degree is required.,{'DEGREE': ['Doctor Medicine']}
Applicants must have a Bachelor of Science in Biology.,{'DEGREE': ['Bachelor Science Biology']}
He possesses a Master of Business Administration.,{'DEGREE': ['Master Business Administration']}
She earned a Bachelor of Arts in Communications.,{'DEGREE': ['Bachelor Arts Communications']}
A Master of Science in Nutrition is desired.,"{'DEGREE': ['Master Science'], 'SPEC': ['Nutrition']}"
He holds a Doctor of Philosophy in Chemical Engineering.,"{'SPEC': ['holds', 'Philosophy', 'Chemical Engineering'], 'DEGREE': ['Doctor']}"
She completed a Bachelor of Science in Physics.,{'DEGREE': ['Bachelor Science Physics']}
A Master of Science in Ecology is preferred.,"{'DEGREE': ['Master'], 'SPEC': ['Science', 'Ecology']}"
Candidates with a Bachelor of Science in Microbiology are encouraged to apply.,"{'DEGREE': ['Bachelor Science'], 'SPEC': ['Microbiology', 'encouraged apply']}"
He holds a Master of Science in Urban Planning.,"{'DEGREE': ['Master Science'], 'SPEC': ['Urban Planning']}"
She earned a Bachelor of Arts in English Literature.,"{'DEGREE': ['Bachelor Arts'], 'SPEC': ['English Literature']}"
A Doctor of Philosophy in Electrical and Computer Engineering is essential.,"{'DEGREE': ['Doctor Philosophy'], 'SPEC': ['Electrical Computer Engineering']}"
He has a Bachelor of Science in Environmental Studies.,"{'DEGREE': ['Bachelor Science'], 'SPEC': ['Environmental Studies']}"
She completed a Master of Arts in Museum Studies.,{'SPEC': ['Museum Studies']}
A Bachelor of Science in Genetics is required.,"{'DEGREE': ['Bachelor'], 'SPEC': ['Science', 'Genetics']}"
Applicants should have a Master of Science in Biomedical Sciences.,"{'DEGREE': ['Master Science'], 'SPEC': ['Biomedical Sciences']}"
A Doctor of Pharmacy degree is highly desired.,"{'DEGREE': ['Doctor'], 'SPEC': ['Pharmacy']}"
He possesses a Bachelor of Science in Health Sciences.,"{'SPEC': ['possesses'], 'DEGREE': ['Bachelor']}"
She earned a Master of Science in Clinical Psychology.,"{'DEGREE': ['Master Science'], 'SPEC': ['Clinical Psychology']}"
A Bachelor of Science in Computer Information Systems is preferred.,"{'DEGREE': ['Bachelor Science'], 'SPEC': ['Computer Information Systems']}"
Candidates with a Doctor of Philosophy in Mechanical Engineering are encouraged to apply.,"{'DEGREE': ['Doctor Philosophy'], 'SPEC': ['Mechanical Engineering', 'encouraged apply']}"
He holds a Master of Science in Cognitive Science.,"{'DEGREE': ['Master Science'], 'SPEC': ['Cognitive Science']}"
She completed her Bachelor of Science in Economics.,"{'DEGREE': ['Bachelor'], 'SPEC': ['Science', 'Economics']}"
A Doctor of Philosophy in Neuroscience is essential.,"{'DEGREE': ['Doctor'], 'SPEC': ['Philosophy', 'Neuroscience']}"
He has a Bachelor of Science in Plant Sciences.,"{'DEGREE': ['Bachelor Science'], 'SPEC': ['Plant Sciences']}"
She earned a Master of Science in Applied Mathematics.,"{'DEGREE': ['Master Science'], 'SPEC': ['Applied Mathematics']}"
A Bachelor of Science in Kinesiology is required.,"{'DEGREE': ['Bachelor'], 'SPEC': ['Science', 'Kinesiology']}"
Applicants must have a Master of Science in Marine Biology.,"{'DEGREE': ['Master'], 'SPEC': ['Science', 'Marine Biology']}"
He possesses a Doctor of Philosophy in Sociology.,"{'SPEC': ['possesses', 'Philosophy', 'Sociology'], 'DEGREE': ['Doctor']}"
She earned a Bachelor of Science in Nursing Administration.,"{'DEGREE': ['Bachelor Science'], 'SPEC': ['Nursing Administration']}"
A Master of Science in Industrial-Organizational Psychology is desired.,"{'DEGREE': ['Master Science'], 'SPEC': ['Industrial', 'Organizational Psychology']}"
He holds a Bachelor of Science in Information Systems.,"{'SPEC': ['holds', 'Information Systems'], 'DEGREE': ['Bachelor Science']}"
She completed a Master of Science in Pharmacology.,"{'DEGREE': ['Master'], 'SPEC': ['Science', 'Pharmacology']}"
A Doctor of Philosophy in Biophysics is highly desired.,"{'DEGREE': ['Doctor'], 'SPEC': ['Philosophy']}"
He has a Bachelor of Science in Environmental Health.,"{'DEGREE': ['Bachelor Science'], 'SPEC': ['Environmental Health']}"
She earned a Master of Science in Immunology.,"{'DEGREE': ['Master Science'], 'SPEC': ['Immunology']}"
A Bachelor of Science in Public Health is essential.,"{'DEGREE': ['Bachelor Science'], 'SPEC': ['Public Health']}"
Candidates with a Master of Science in Cybersecurity are encouraged to apply.,"{'DEGREE': ['Master Science'], 'SPEC': ['Cybersecurity', 'encouraged apply']}"
He holds a Bachelor of Science in Environmental Policy.,"{'SPEC': ['holds', 'Environmental Policy'], 'DEGREE': ['Bachelor Science']}"
She completed her Master of Science in Molecular Genetics.,"{'DEGREE': ['Master Science'], 'SPEC': ['Molecular Genetics']}"
Applicants should have a Bachelor of Science in Food Science.,{'DEGREE': ['Bachelor Science Food Science']}
A Master of Science in Marine Ecology is preferred.,"{'DEGREE': ['Master'], 'SPEC': ['Science', 'Marine', 'Ecology']}"
He possesses a Bachelor of Science in Conservation Biology.,"{'SPEC': ['possesses', 'Conservation Biology'], 'DEGREE': ['Bachelor Science']}"
She earned a Master of Science in Bioinformatics.,"{'DEGREE': ['Master Science'], 'SPEC': ['Bioinformatics']}"
A Doctor of Philosophy in Social Work is highly desired.,"{'DEGREE': ['Doctor Philosophy'], 'SPEC': ['Social Work']}"
He holds a Bachelor of Science in Physics with a minor in Computer Science.,"{'SPEC': ['holds', 'Physics', 'Computer Science'], 'DEGREE': ['Bachelor Science', 'minor']}"
She completed a Master of Science in Agronomy.,{'DEGREE': ['Master Science Agronomy']}
A Bachelor of Science in Earth Sciences is required.,{'DEGREE': ['Bachelor Science']}
Candidates should have a Master of Science in Horticulture.,"{'DEGREE': ['Master Science'], 'SPEC': ['Horticulture']}"
He has a Doctor of Philosophy in Environmental Chemistry.,"{'DEGREE': ['Doctor Philosophy'], 'SPEC': ['Environmental Chemistry']}"
She earned a Bachelor of Science in Medical Technology.,"{'DEGREE': ['Bachelor Science'], 'SPEC': ['Medical Technology']}"
Minimum requirements:- 5+ years of software engineering experience,{'DEGREE': ['Minimum']}
NIL,{}
BS,{}
Strong technical background with a degree in CS,{'SPEC': ['CS']}
Minimum 3 years of experience in a relevant role within the production environment.,{'DEGREE': ['Minimum']}
Bachelor's degree required.,{'DEGREE': ['Bachelor']}
Ph.D. in applied math,{}
Bachelorâ€™s degree and at least 5 years of Oncology experience OR associate degree and 7 years of Oncology experience.,"{'DEGREE': ['Bachelor', 'associate'], 'SPEC': ['least']}"
Bachelor's degree in Statistics,"{'DEGREE': ['Bachelor'], 'SPEC': ['Statistics']}"
CA Inter ,"{'DEGREE': ['CA', 'Inter']}"
BS or BA degree in Medical Technology,"{'DEGREE': ['BS', 'BA'], 'SPEC': ['Medical Technology']}"
MD,{}
1st Class Masterâ€™s Degree M.Eng,"{'SPEC': ['st'], 'DEGREE': ['Master']}"
Kriger Research Group International Diploma in Clinical Research & Regulatory Affairs,"{'SPEC': ['Kriger Research', 'Clinical Research', 'Regulatory Affairs'], 'DEGREE': ['Diploma']}"
Bharathiar University Masters in Computer Applications (MCA),{'DEGREE': ['Masters Computer Applications MCA']}
EIC,{}
MBA,{}
MBA,{}
5+ annÃ©es d'expÃ©rience avÃ©rÃ©e dans l'industrie; diplÃ´me de bachelier en TI ou domaines connexes.,"{'DEGREE': ['ann', 'es', 'exp', 'domaines connexes']}"
"The job description states that the candidate should have ""Strong product management experience with at least four years in payments, banking, accounting, reconciliation, or other financial systems."" Therefore, the experience needed is at least four years.","{'DEGREE': ['job'], 'SPEC': ['least four', 'accounting reconciliation', 'financial systems Therefore']}"
"BS in computer science, engineering, or equivalent fields","{'DEGREE': ['BS'], 'SPEC': ['computer science engineering']}"
4+ years of engineering management experience5+ years of backend software development experienceExperience with open source projectsStrong written and verbal English communication skills,{'SPEC': ['open source']}
"Bachelor's or Master's degree in Computer Science, Engineering, or a related field.","{'DEGREE': ['Bachelor', 'Master'], 'SPEC': ['Computer Science', 'Engineering']}"
"PhD in Computer Science, AI,ML or equivalent practical experience building impactful AI products.","{'DEGREE': ['PhD'], 'SPEC': ['Computer Science']}"
"Degree in molecular biology, tissue or cellular biology, immunology or closely related field.","{'SPEC': ['molecular biology', 'tissue', 'cellular biology', 'immunology']}"
"BS Computer Science, Bioinformatics, or related field. MS preferred.","{'DEGREE': ['BS', 'MS'], 'SPEC': ['Computer Science', 'Bioinformatics']}"
"B.S. or B.A. Biology, Chemistry, BioChemistry or related field","{'DEGREE': ['B B'], 'SPEC': ['Biology', 'Chemistry', 'BioChemistry']}"
"Bachelor’s degree in Computer Science, Computer Engineering, Bioinformatics or engineering related area.","{'DEGREE': ['Bachelor'], 'SPEC': ['Computer Science', 'Computer Engineering', 'Bioinformatics', 'engineering']}"
Masters plus 3 years of experience or PhD plus one year of experience,"{'DEGREE': ['Masters plus', 'PhD'], 'SPEC': ['plus', 'year experience']}"
"BS, MS from a top university. CS, CES, EE as a major is highly desired.","{'DEGREE': ['BS', 'MS'], 'SPEC': ['CS', 'CES', 'EE']}"
"Strong technical background with a degree in CS, CES, EE or related field from a premier university.","{'SPEC': ['CS', 'CES', 'EE']}"
"Degree in Computer Science, Engineering, or a related field from a top-tier university.","{'SPEC': ['Computer Science', 'Engineering']}"
"Bachelor's degree or higher in Computer Science, Engineering, Math, Economics, or equivalent work experience.","{'DEGREE': ['Bachelor'], 'SPEC': ['higher Computer Science Engineering', 'Economics']}"
"Proven experience in operational leadership within a startup or dynamic business setting. Demonstrated expertise in setting and managing OKRs and KPIs. Strong track record in team leadership and talent development. Excellent communication skills, capable of effective cross-cultural and international collaboration. Startup experience is highly valued, showcasing the ability to scale operations and teams rapidly.","{'SPEC': ['operational leadership within startup', 'setting managing OKRs', 'talent development', 'capable effective']}"
A technical degree or related educational background.,{'DEGREE': ['technical']}
Minimum 3 years of experience in a relevant role within the production environment.,{'DEGREE': ['Minimum']}
Professional Services qualification (or demonstrable experience of PSA solutions),"{'DEGREE': ['Professional Services qualification'], 'SPEC': ['demonstrable experience']}"
"B.Tech, M.Tech in Engineering","{'DEGREE': ['B', 'Tech', 'Tech'], 'SPEC': ['Engineering']}"
"Bachelor's degree in computer science, information technology, engineering, information systems, cybersecurity, or related area and 3 years’ experience in software engineering or related area at a technology, retail, or data-driven company.","{'DEGREE': ['Bachelor'], 'SPEC': ['computer science', 'information technology engineering', 'information systems', 'cybersecurity', 'software engineering']}"
"BS, MS, PhD in Computer Science or related majors, or equivalent experience.","{'DEGREE': ['BS', 'MS', 'PhD'], 'SPEC': ['Computer Science']}"
"6+ years of hands-on software engineering experience, preferably in distributed systems.2+ years of proven engineering management experience.Proven track record of growing individuals and delivering complex projects.",{'SPEC': ['preferably distributed systems']}
"MS, Ph.D. in quantitative discipline (Math, Statistics, Operations Research, Economics, Engineering, or CS)","{'DEGREE': ['MS'], 'SPEC': ['Statistics', 'Operations Research', 'Economics', 'Engineering', 'CS']}"
PhD in NLP,{'DEGREE': ['PhD']}
5+ years of experience,{}
"BS, MS in CS, CES, EE as a major is highly desired","{'DEGREE': ['BS', 'MS'], 'SPEC': ['CS', 'CES', 'EE']}"
"Expertise in data warehousing and data modelingExperience with distributed systems and cloud computing platformsAbility to design and implement scalable, fault-tolerant real-time data pipelinesKnowledge of machine learning and statistical modeling techniquesExperience with real-time ingestion technologies (optional)Experience optimizing a MPP or similar data warehouse for performance (optional)Experience with data quality monitoring and anomaly detection (optional)Experience with data visualization and dashboarding tools such as PowerBI, Tableau, or Grafana (optional)","{'SPEC': ['data warehousing data modelingExperience', 'distributed systems', 'cloud computing', 'real time data pipelinesKnowledge', 'machine learning', 'statistical modeling', 'real time ingestion technologies', 'similar data warehouse performance', 'data quality monitoring', 'data visualization', 'dashboarding tools', 'Tableau']}"
Strong programming skills and CS fundamentals combined with 5+ years of experience building products.,{'SPEC': ['CS fundamentals']}
Bachelor's degree in a related field or equivalent experience.,{'DEGREE': ['Bachelor']}
"BS degree in computer science, comparable program, or equivalent.","{'DEGREE': ['BS'], 'SPEC': ['computer science', 'comparable program']}"
Bachelor’s degree and at least 5 years of Oncology experience OR associate degree and 7 years of Oncology experience.,"{'DEGREE': ['Bachelor', 'associate'], 'SPEC': ['least']}"
"Ph.D. in applied math, statistics, engineering, or equivalent.","{'DEGREE': ['math'], 'SPEC': ['statistics', 'engineering']}"
"Bachelor's Degree in Computer Science or related technical field AND 2+ years technical engineering experience with coding in languages including, but not limited to, C, C++, C#, Java, JavaScript, or Python.","{'DEGREE': ['Bachelor', 'technical engineering'], 'SPEC': ['Computer Science', 'coding languages', 'Python']}"
"Currently enrolled full time and pursuing a Master’s or PhD degree in Computer Science, Computer Engineering; or equivalent experience required.","{'SPEC': ['full time pursuing', 'Computer Science', 'Computer Engineering'], 'DEGREE': ['Master', 'PhD']}"
"Bachelor's degree from a four-year college or university in computer science, engineering, business, or other related field or a combination of education and equivalent work experience.","{'DEGREE': ['Bachelor'], 'SPEC': ['four', 'computer science']}"
Preferably a degree in Computer Science or Software Engineering.,"{'SPEC': ['Preferably degree', 'Computer Science', 'Software Engineering']}"
"Preference for Masters or Ph.D. in Sciences, Mathematics, or Engineering.","{'SPEC': ['Preference', 'Sciences Mathematics Engineering']}"
"Bachelors,master’s in computer engineering or equivalent.","{'DEGREE': ['master'], 'SPEC': ['computer engineering']}"
Bachelor's or Masters's Degree in Computer Science or equivalent.,"{'DEGREE': ['Bachelor Masters'], 'SPEC': ['Computer Science']}"
"Bachelor's or Master's degree in Computer Science, IT, Engineering or equivalent.","{'DEGREE': ['Bachelor', 'Master'], 'SPEC': ['Computer Science', 'Engineering']}"
"Bachelor's degree in Technology, Engineering or related field, or equivalent experience.","{'DEGREE': ['Bachelor'], 'SPEC': ['Technology Engineering']}"
"Advanced proficiency with Python and libraries commonly used for data analysis, e.g., Pandas, NumPy, SciPy, and Matplotlib. Strong understanding of data modeling and statistical analysis. Knowledge of optimization and predictive modeling techniques and experience applying them to real-world problems. Skilled at translating a general question or problem into a clearly defined algorithmic solution. Ability to communicate clearly with both technical and non-technical audiences. Ability to work independently and manage multiple projects simultaneously.","{'SPEC': ['Python libraries', 'NumPy SciPy Matplotlib', 'data modeling', 'statistical analysis', 'optimization predictive modeling', 'applying real world problems', 'translating', 'problem clearly defined', 'algorithmic solution', 'technical audiences'], 'DEGREE': ['communicate']}"
"10+ years of experience with Go and/or C++ is a must. Extensive technology and design experience involving SDN, Networking Orchestration, Openstack and Virtual network architecture. Proven experience in application development agile methodology related to n,w orchestration, network virtualization. Familiar with major cloud providers Azure, AWS, GCP, and others. Experience with distributed systems and test driven development. Demonstrable depth of knowledge in a domain such as networking, messaging, data sharing and distributed computing. Preferred proficiency in Golang. Networking Knowledge(SDWAN, SDN, WiFi). Familiar with DevOps tools like Ansible, Gitlab, and Terraform. Familiar with Databases MYSQL or others.","{'DEGREE': ['technology design', 'SDN', 'w', 'WiFi'], 'SPEC': ['Networking', 'Orchestration Openstack', 'Virtual', 'network architecture', 'application development', 'agile methodology', 'orchestration', 'network virtualization', 'Azure', 'distributed systems', 'domain networking messaging', 'data sharing', 'distributed computing', 'Networking', 'DevOps tools like', 'Terraform', 'Databases']}"
"Bachelor's or College Degree in Computer Science, Information Technology or equivalent.","{'DEGREE': ['Bachelor College'], 'SPEC': ['Computer Science', 'Information Technology']}"
"Bachelor's degree in Statistics, Mathematics, Economics, Engineering, Information Management, Social Sciences.","{'DEGREE': ['Bachelor'], 'SPEC': ['Statistics', 'Mathematics', 'Economics', 'Engineering', 'Information Management', 'Social Sciences']}"
"Bachelor's degree in Computer Science, Engineering, or a related field.","{'DEGREE': ['Bachelor'], 'SPEC': ['Computer Science', 'Engineering']}"
Hands-on experience with scripting languages like Python or Shell is required.  for formal education qualification.,"{'SPEC': ['Hands experience', 'scripting languages like'], 'DEGREE': ['education qualification']}"
"CA Inter , ICWA Inter , Post Graduate , MBA Finance (Candidate with B.Com in Graduation)","{'DEGREE': ['CA', 'Inter ICWA', 'Inter', 'Graduate MBA', 'Candidate B'], 'SPEC': ['Finance']}"
15 yrs of full time education,"{'DEGREE': ['yrs'], 'SPEC': ['full time education']}"
Master's degree or University Degree in Accounting.,"{'DEGREE': ['Master'], 'SPEC': ['Accounting']}"
"2+ years of experience in a DevOps,SRE,Platform Engineer role or related field.",{'SPEC': ['SRE Platform']}
"CA, MBA (Finance)","{'DEGREE': ['CA'], 'SPEC': ['MBA', 'Finance']}"
MBA or CA qualified with minimum 2 years of underwriting experience.,"{'DEGREE': ['MBA', 'CA'], 'SPEC': ['qualified minimum']}"
Experience as Data Engineer in PySpark with Azure Dataricks. Strong SQL Experience. Proficient in a source code control system such as GIT. Data warehousing architecture knowledge.,"{'SPEC': ['Data Engineer', 'PySpark Azure', 'Dataricks', 'Data warehousing', 'architecture knowledge']}"
"2+ years of experience in a DevOps, SRE, Platform Engineer role or related field.",{'SPEC': ['SRE Platform']}
"Associates Degree or Certificate in a relevant field, such as Business Studies or Economics, or equivalent training and experience.","{'DEGREE': ['Associates Degree', 'Certificate'], 'SPEC': ['Economics']}"
High School Diploma or GED.,"{'DEGREE': ['High School Diploma'], 'SPEC': ['GED']}"
High School Diploma (or equivalent) preferred.,{'DEGREE': ['High School Diploma']}
Bachelor’s degree,{'DEGREE': ['Bachelor']}
Bachelor's Degree or equivalent experience; MBA is a plus.,"{'DEGREE': ['Bachelor', 'MBA'], 'SPEC': ['plus']}"
"Bachelor's Degree in business, economics, related field, or equivalent experience required.","{'DEGREE': ['Bachelor'], 'SPEC': ['business economics']}"
Bachelor's degree.,{'DEGREE': ['Bachelor']}
"BS/BA in a biological science, biomedical engineering, similar field of study, or comparable industry experience.","{'DEGREE': ['BS', 'BA'], 'SPEC': ['biological science', 'biomedical engineering', 'comparable industry experience']}"
Bachelor degree in relevant field is preferred.,{'DEGREE': ['Bachelor']}
"BS/BA degree (or equivalent) in Medical Technology, Biological Sciences, or related field. Current California CLS license or CGMBS license (Clinical Genetics Molecular Biology Scientist).","{'DEGREE': ['BS', 'BA', 'license', 'license'], 'SPEC': ['equivalent Medical Technology', 'Biological Sciences', 'Clinical Genetics', 'Molecular Biology']}"
Bachelor's degree or equivalent.,{'DEGREE': ['Bachelor']}
Bachelor’s degree.,{'DEGREE': ['Bachelor']}
"BA/BS degree in life sciences, related field, or equivalent.",{'DEGREE': ['BA']}
Bachelor's degree (preferred),{'DEGREE': ['Bachelor']}
BS/BA in a biological science or equivalent.,"{'DEGREE': ['BS', 'BA'], 'SPEC': ['biological science']}"
"Degree in molecular biology, biochemistry, cellular biology or closely related field. Master of Science with a minimum of 3+ years of industry experience or equivalent.","{'SPEC': ['molecular biology', 'biochemistry', 'cellular biology'], 'DEGREE': ['Master Science', 'minimum']}"
"Bachelor’s degree in Accounting, Finance, or equivalent.","{'DEGREE': ['Bachelor'], 'SPEC': ['Accounting', 'Finance']}"
"Bachelor’s Degree in business, economics, related field, or equivalent required.","{'DEGREE': ['Bachelor'], 'SPEC': ['business economics']}"
"Minimum of High School Diploma or equivalent required. RN, BS, BA degree preferred. National Phlebotomy Certification may be required depending on the state of practice.","{'DEGREE': ['Minimum', 'High', 'BA', 'Certification', 'may']}"
Phlebotomy Certificate (if required by State),{'SPEC': ['Phlebotomy Certificate']}
"Master's degree in a related field (e.g., Statistics, Data Science, Computer Science).","{'DEGREE': ['Master'], 'SPEC': ['Statistics', 'Data Science', 'Computer Science']}"
High School Diploma or GED,"{'DEGREE': ['High School Diploma'], 'SPEC': ['GED']}"
"Ph.D. in molecular biology, immunology, biochemistry or closely related field with 8+ years of industry experience.","{'SPEC': ['molecular biology', 'immunology', 'biochemistry']}"
"BA (business, marketing), MBA optional. Background in medical or biological sciences (clinical diagnostics preferred).","{'DEGREE': ['BA'], 'SPEC': ['business marketing MBA', 'optional Background', 'medical biological sciences', 'clinical diagnostics']}"
"PhD degree in Molecular Biology, Biochemistry, or related field with 5+ years industry experience in developing NGS based assays from concept to commercialization.","{'DEGREE': ['PhD'], 'SPEC': ['Molecular Biology', 'Biochemistry', 'concept commercialization']}"
Bachelor's degree or equivalent experience.,{'DEGREE': ['Bachelor']}
Bachelor's Degree or equivalent required.,{'DEGREE': ['Bachelor']}
"BA in Business, Marketing or related field is required; MBA preferred. Background in medical or biological sciences; clinical diagnostics preferred.","{'DEGREE': ['BA', 'MBA'], 'SPEC': ['Business Marketing', 'clinical diagnostics']}"
High School Diploma or GED. One-year certificate from college or a technical school is preferred.,"{'DEGREE': ['High School Diploma', 'certificate'], 'SPEC': ['GED One']}"
"MD, DO and/or PhD in genetics or related field required. ABMGG board-certified in Clinical Cytogenetics and/or Molecular Genetics, ABP board-certified in Molecular Genetic Pathology, or equivalent doctoral-level board required. Current California laboratory director license as a Clinical Genetic Molecular Biologist or Clinical Cytogeneticist required. Current Certificate of Qualification in Genetic Testing from the NYS CLEP required.","{'DEGREE': ['MD', 'PhD', 'director license', 'Biologist', 'Certificate', 'NYS'], 'SPEC': ['genetics', 'certified Clinical Cytogenetics', 'Molecular Genetics', 'Clinical', 'Clinical', 'Qualification', 'Genetic Testing']}"
"BS/BA degree in Medical Technology, Biological Sciences, or a related field and Current MT,MLS,CLS certification required (certification from ASCP, AMT, or AAB preferred)","{'DEGREE': ['BS', 'BA'], 'SPEC': ['Medical Technology', 'Biological Sciences']}"
Two year degree and/or 2-5 years of related experience; undergraduate degree preferred.,{}
"Bachelor's degree or equivalent required; an advanced degree (MBA,MPH) is preferred.","{'DEGREE': ['Bachelor', 'MBA']}"
Bachelor's Degree in a related field or equivalent.,{'DEGREE': ['Bachelor']}
"Bachelor of Science, Nursing or related healthcare field preferred.","{'DEGREE': ['Bachelor'], 'SPEC': ['Science', 'Nursing']}"
Bachelor's Degree in related field or equivalent required.,{'DEGREE': ['Bachelor']}
"Bachelor's Degree (BA, BS) with nursing or transplant coordinator certification. BSN required.","{'DEGREE': ['Bachelor', 'BA', 'BS'], 'SPEC': ['nursing']}"
Degree in technical field or equivalent work experience and applicable certifications.,"{'DEGREE': ['technical'], 'SPEC': ['applicable certifications']}"
"BS or BA degree in Medical Technology, Biological Sciences, or a related field and Current MT, MLS, CLS certification required.","{'DEGREE': ['BS', 'BA'], 'SPEC': ['Medical Technology', 'Biological Sciences']}"
"Bachelor of Engineering, Master of Computer Application in Information Technology or Computer","{'DEGREE': ['Bachelor Engineering', 'Master'], 'SPEC': ['Computer Application', 'Information Technology', 'Computer']}"
Bachelor's degree or equivalent in a scientific discipline.,{'DEGREE': ['Bachelor']}
"PhD, Master, Bachelor in a quantitative discipline (e.g., Statistics, Operations Research, Economics, Computer Science, Mathematics, Physics, Industrial Engineering) or equivalent practical experience.","{'DEGREE': ['PhD', 'Master', 'Bachelor'], 'SPEC': ['Operations Research Economics', 'Computer Science', 'Mathematics', 'Physics', 'Industrial Engineering']}"
"Bachelor’s, Master’s degree in Engineering, Computer Science (or equivalent experience)","{'DEGREE': ['Bachelor', 'Master'], 'SPEC': ['Engineering Computer Science']}"
